customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
2706,2,8,770.07,5,5,5,15,Champions
1230,2,9,442.62,5,5,5,15,Champions
2200,2,10,500.58,5,5,5,15,Champions
1953,1,4,419.32,5,5,5,15,Champions
2319,1,5,334.65,5,5,5,15,Champions
2217,1,5,340.73,5,5,5,15,Champions
2592,1,5,378.66,5,5,5,15,Champions
596,1,5,379.89,5,5,5,15,Champions
74,1,6,353.34,5,5,5,15,Champions
828,1,6,368.71,5,5,5,15,Champions
2820,1,6,472.93,5,5,5,15,Champions
265,1,6,686.35,5,5,5,15,Champions
503,1,7,416.14,5,5,5,15,Champions
678,1,8,410.27,5,5,5,15,Champions
2219,1,8,428.95,5,5,5,15,Champions
692,1,8,558.29,5,5,5,15,Champions
392,1,8,571.95,5,5,5,15,Champions
1326,1,9,434.08,5,5,5,15,Champions
1648,1,9,501.07,5,5,5,15,Champions
608,1,9,544.39,5,5,5,15,Champions
2150,1,9,659.06,5,5,5,15,Champions
2083,1,10,480.63,5,5,5,15,Champions
2617,1,10,772.86,5,5,5,15,Champions
1268,0,5,328.51,5,5,5,15,Champions
554,0,5,347.34,5,5,5,15,Champions
2512,0,5,355.02,5,5,5,15,Champions
403,0,5,462.52,5,5,5,15,Champions
1859,0,6,298.85,5,5,5,15,Champions
483,0,6,355.43,5,5,5,15,Champions
1083,0,6,369.61,5,5,5,15,Champions
96,0,6,377.95,5,5,5,15,Champions
60,0,7,297.42,5,5,5,15,Champions
2721,0,7,320.38,5,5,5,15,Champions
2881,0,7,385.44,5,5,5,15,Champions
1854,0,7,402.3,5,5,5,15,Champions
429,0,7,443.44,5,5,5,15,Champions
1874,0,7,457.41,5,5,5,15,Champions
1988,0,7,465.76,5,5,5,15,Champions
1107,0,7,488.23,5,5,5,15,Champions
1531,0,7,514.3,5,5,5,15,Champions
2549,0,7,573.21,5,5,5,15,Champions
2725,0,8,399.68,5,5,5,15,Champions
2490,0,8,435.78,5,5,5,15,Champions
2611,0,8,446.44,5,5,5,15,Champions
1849,0,8,451.36,5,5,5,15,Champions
244,0,8,457.3,5,5,5,15,Champions
1745,0,8,471.04,5,5,5,15,Champions
2181,0,8,572.44,5,5,5,15,Champions
139,0,9,333.56,5,5,5,15,Champions
2501,0,9,417.94,5,5,5,15,Champions
2288,0,9,531.71,5,5,5,15,Champions
83,0,9,619.11,5,5,5,15,Champions
2698,46,5,326.17,4,5,5,14,Champions
1323,46,7,379.01,4,5,5,14,Champions
2216,45,8,381.41,4,5,5,14,Champions
871,45,10,588.55,4,5,5,14,Champions
1664,44,6,311.33,4,5,5,14,Champions
1397,43,4,399.02,4,5,5,14,Champions
1978,43,7,406.44,4,5,5,14,Champions
2571,43,7,778.89,4,5,5,14,Champions
606,43,9,583.44,4,5,5,14,Champions
2483,42,4,505.66,4,5,5,14,Champions
86,42,5,299.78,4,5,5,14,Champions
2840,42,5,512.56,4,5,5,14,Champions
1547,42,8,758.73,4,5,5,14,Champions
1409,41,5,505.65,4,5,5,14,Champions
1468,41,7,505.85,4,5,5,14,Champions
1702,41,8,499.78,4,5,5,14,Champions
726,41,9,497.95,4,5,5,14,Champions
1061,40,5,333.27,4,5,5,14,Champions
398,40,6,408.29,4,5,5,14,Champions
1684,40,7,390.55,4,5,5,14,Champions
1487,40,8,535.59,4,5,5,14,Champions
1378,39,5,342.27,4,5,5,14,Champions
2146,39,6,409.37,4,5,5,14,Champions
1908,39,7,388.96,4,5,5,14,Champions
1064,39,7,476.88,4,5,5,14,Champions
363,38,5,298.29,4,5,5,14,Champions
732,38,7,575.02,4,5,5,14,Champions
1258,38,9,444.28,4,5,5,14,Champions
2438,38,9,497.46,4,5,5,14,Champions
1037,37,6,303.92,4,5,5,14,Champions
2148,37,7,334.08,4,5,5,14,Champions
2144,37,7,527.4,4,5,5,14,Champions
894,37,8,518.92,4,5,5,14,Champions
803,36,4,396.25,4,5,5,14,Champions
1256,36,5,282.46,4,5,5,14,Champions
2283,36,5,347.36,4,5,5,14,Champions
254,36,6,356.3,4,5,5,14,Champions
1674,36,7,690.7,4,5,5,14,Champions
623,36,8,475.24,4,5,5,14,Champions
746,36,8,500.37,4,5,5,14,Champions
217,36,9,471.26,4,5,5,14,Champions
809,35,4,458.24,4,5,5,14,Champions
2263,35,5,387.43,4,5,5,14,Champions
1069,35,6,425.66,4,5,5,14,Champions
1123,35,6,525.54,4,5,5,14,Champions
2429,35,7,485.4,4,5,5,14,Champions
2374,35,8,390.88,4,5,5,14,Champions
1077,35,9,406.71,4,5,5,14,Champions
2583,34,4,371.37,4,5,5,14,Champions
1588,34,5,483.32,4,5,5,14,Champions
117,34,6,386.77,4,5,5,14,Champions
250,34,7,422.87,4,5,5,14,Champions
1018,33,5,294.4,4,5,5,14,Champions
1554,33,6,515.36,4,5,5,14,Champions
272,33,9,550.47,4,5,5,14,Champions
2272,32,8,514.48,4,5,5,14,Champions
1237,32,8,517.88,4,5,5,14,Champions
1058,31,6,314.4,4,5,5,14,Champions
2882,31,6,330.68,4,5,5,14,Champions
1356,31,7,460.53,4,5,5,14,Champions
2124,31,9,400.83,4,5,5,14,Champions
1746,30,7,663.93,4,5,5,14,Champions
1773,30,8,610.38,4,5,5,14,Champions
2865,30,9,491.55,4,5,5,14,Champions
1480,29,5,340.82,4,5,5,14,Champions
427,29,5,353.8,4,5,5,14,Champions
1500,29,5,514.96,4,5,5,14,Champions
512,29,6,302.55,4,5,5,14,Champions
1343,29,7,441.94,4,5,5,14,Champions
1212,29,7,573.84,4,5,5,14,Champions
626,29,7,616.46,4,5,5,14,Champions
2282,29,10,560.82,4,5,5,14,Champions
2488,28,5,284.62,4,5,5,14,Champions
283,28,7,490.55,4,5,5,14,Champions
1146,28,7,571.2,4,5,5,14,Champions
2401,28,8,340.37,4,5,5,14,Champions
2962,28,9,690.86,4,5,5,14,Champions
443,27,6,369.16,4,5,5,14,Champions
2041,27,8,297.33,4,5,5,14,Champions
2779,27,8,341.5,4,5,5,14,Champions
2164,27,9,490.37,4,5,5,14,Champions
1142,27,9,570.19,4,5,5,14,Champions
517,26,5,613.47,4,5,5,14,Champions
1238,26,6,407.94,4,5,5,14,Champions
293,26,6,468.58,4,5,5,14,Champions
2469,26,7,372.19,4,5,5,14,Champions
2543,26,7,391.6,4,5,5,14,Champions
154,26,7,489.68,4,5,5,14,Champions
2174,26,8,637.33,4,5,5,14,Champions
2553,26,9,659.94,4,5,5,14,Champions
2965,26,9,742.34,4,5,5,14,Champions
2841,25,5,325.97,4,5,5,14,Champions
2420,25,5,375.19,4,5,5,14,Champions
1931,25,5,427.02,4,5,5,14,Champions
126,25,7,403.36,4,5,5,14,Champions
1672,25,8,327.98,4,5,5,14,Champions
1737,24,8,576.67,4,5,5,14,Champions
1430,23,5,287.66,4,5,5,14,Champions
2445,23,5,296.77,4,5,5,14,Champions
1291,23,6,285.54,4,5,5,14,Champions
3000,23,6,519.74,4,5,5,14,Champions
2410,23,9,597.96,4,5,5,14,Champions
1671,23,10,775.29,4,5,5,14,Champions
1030,22,5,356.99,4,5,5,14,Champions
1342,22,6,515.7,4,5,5,14,Champions
642,22,7,566.05,4,5,5,14,Champions
1546,22,7,607.2,4,5,5,14,Champions
2198,22,8,418.69,4,5,5,14,Champions
8,22,8,477.84,4,5,5,14,Champions
672,22,9,424.44,4,5,5,14,Champions
2963,21,5,344.96,4,5,5,14,Champions
1803,21,5,385.38,4,5,5,14,Champions
1979,21,6,374.25,4,5,5,14,Champions
1346,21,6,446.81,4,5,5,14,Champions
1474,21,7,368.63,4,5,5,14,Champions
2688,21,7,450.99,4,5,5,14,Champions
988,21,7,678.89,4,5,5,14,Champions
990,21,7,688.98,4,5,5,14,Champions
619,21,8,560.96,4,5,5,14,Champions
552,21,8,623.86,4,5,5,14,Champions
2724,21,9,354.97,4,5,5,14,Champions
2170,20,5,354.72,4,5,5,14,Champions
1475,20,6,323.3,4,5,5,14,Champions
1244,20,6,323.62,4,5,5,14,Champions
762,20,6,405.32,4,5,5,14,Champions
1406,20,6,412.56,4,5,5,14,Champions
2689,20,6,469.55,4,5,5,14,Champions
508,20,8,649.06,4,5,5,14,Champions
2970,20,8,666.8,4,5,5,14,Champions
1382,19,5,429.18,4,5,5,14,Champions
2870,19,7,311.8,4,5,5,14,Champions
2782,18,5,452.23,4,5,5,14,Champions
2764,18,7,299.05,4,5,5,14,Champions
1912,18,7,339.57,4,5,5,14,Champions
581,18,7,385.21,4,5,5,14,Champions
2369,18,7,387.1,4,5,5,14,Champions
2064,18,8,400.41,4,5,5,14,Champions
1386,18,8,422.6,4,5,5,14,Champions
2925,18,8,490.16,4,5,5,14,Champions
2615,18,8,611.64,4,5,5,14,Champions
2569,17,8,492.75,4,5,5,14,Champions
317,17,9,428.52,4,5,5,14,Champions
2311,16,5,289.69,4,5,5,14,Champions
40,16,8,378.59,4,5,5,14,Champions
2377,16,8,425.08,4,5,5,14,Champions
1920,16,8,443.25,4,5,5,14,Champions
1561,16,8,448.22,4,5,5,14,Champions
1805,16,8,466.61,4,5,5,14,Champions
1437,16,10,636.84,4,5,5,14,Champions
2154,15,5,279.52,5,5,4,14,Champions
89,13,4,353.86,5,4,5,14,Champions
1963,13,7,254.67,5,5,4,14,Champions
949,10,2,301.72,5,4,5,14,Champions
2741,10,3,282.38,5,4,5,14,Champions
2927,10,3,304.84,5,4,5,14,Champions
2557,10,5,229.57,5,5,4,14,Champions
49,10,5,245.55,5,5,4,14,Champions
2754,10,5,246.85,5,5,4,14,Champions
199,10,5,271.0,5,5,4,14,Champions
1566,10,6,240.69,5,5,4,14,Champions
1693,9,4,289.04,5,4,5,14,Champions
1535,9,5,165.65,5,5,4,14,Champions
825,8,5,180.0,5,5,4,14,Champions
234,8,5,247.36,5,5,4,14,Champions
1313,7,3,321.1,5,4,5,14,Champions
1642,7,6,222.61,5,5,4,14,Champions
2914,6,3,304.82,5,4,5,14,Champions
424,6,6,259.47,5,5,4,14,Champions
2074,5,3,303.68,5,4,5,14,Champions
1335,5,4,337.07,5,4,5,14,Champions
1467,5,4,353.46,5,4,5,14,Champions
789,5,5,204.34,5,5,4,14,Champions
1611,4,4,340.87,5,4,5,14,Champions
674,4,5,254.14,5,5,4,14,Champions
1604,4,6,258.29,5,5,4,14,Champions
2338,4,7,264.21,5,5,4,14,Champions
1901,2,4,332.38,5,4,5,14,Champions
2462,2,5,172.3,5,5,4,14,Champions
2680,2,5,250.36,5,5,4,14,Champions
153,1,2,299.64,5,4,5,14,Champions
178,1,3,302.4,5,4,5,14,Champions
2032,1,4,299.19,5,4,5,14,Champions
713,1,4,299.58,5,4,5,14,Champions
662,1,4,349.75,5,4,5,14,Champions
815,1,5,243.36,5,5,4,14,Champions
2194,1,5,243.8,5,5,4,14,Champions
386,1,5,277.81,5,5,4,14,Champions
233,0,5,165.37,5,5,4,14,Champions
2467,0,5,212.74,5,5,4,14,Champions
2424,0,5,251.22,5,5,4,14,Champions
2672,0,6,251.81,5,5,4,14,Champions
1490,101,8,716.87,3,5,5,13,"Loyal Customers"
1492,100,7,345.48,3,5,5,13,"Loyal Customers"
271,100,9,757.46,3,5,5,13,"Loyal Customers"
2694,99,5,370.33,3,5,5,13,"Loyal Customers"
738,99,7,456.78,3,5,5,13,"Loyal Customers"
2100,98,8,338.24,3,5,5,13,"Loyal Customers"
1570,95,5,513.35,3,5,5,13,"Loyal Customers"
2158,94,5,414.97,3,5,5,13,"Loyal Customers"
1182,94,6,498.47,3,5,5,13,"Loyal Customers"
1421,94,8,495.15,3,5,5,13,"Loyal Customers"
1853,92,6,332.42,3,5,5,13,"Loyal Customers"
2735,91,4,424.32,3,5,5,13,"Loyal Customers"
708,90,7,411.12,3,5,5,13,"Loyal Customers"
1310,90,8,558.23,3,5,5,13,"Loyal Customers"
418,87,7,395.11,3,5,5,13,"Loyal Customers"
1100,87,7,506.07,3,5,5,13,"Loyal Customers"
2324,87,8,557.68,3,5,5,13,"Loyal Customers"
68,85,5,369.98,3,5,5,13,"Loyal Customers"
444,85,7,446.54,3,5,5,13,"Loyal Customers"
2795,85,7,492.82,3,5,5,13,"Loyal Customers"
2075,85,9,500.12,3,5,5,13,"Loyal Customers"
2774,84,5,316.95,3,5,5,13,"Loyal Customers"
1980,84,7,490.55,3,5,5,13,"Loyal Customers"
1947,83,7,492.85,3,5,5,13,"Loyal Customers"
170,82,5,387.94,3,5,5,13,"Loyal Customers"
344,82,7,387.02,3,5,5,13,"Loyal Customers"
2572,80,4,579.8,3,5,5,13,"Loyal Customers"
835,80,8,481.33,3,5,5,13,"Loyal Customers"
85,80,8,706.38,3,5,5,13,"Loyal Customers"
2968,79,5,439.67,3,5,5,13,"Loyal Customers"
2017,78,5,405.2,3,5,5,13,"Loyal Customers"
2460,77,7,404.3,3,5,5,13,"Loyal Customers"
2312,76,5,419.45,3,5,5,13,"Loyal Customers"
2227,76,6,305.19,3,5,5,13,"Loyal Customers"
1376,74,7,356.02,3,5,5,13,"Loyal Customers"
1481,74,7,419.45,3,5,5,13,"Loyal Customers"
438,74,8,539.39,3,5,5,13,"Loyal Customers"
474,73,7,659.3,3,5,5,13,"Loyal Customers"
1396,72,8,579.32,3,5,5,13,"Loyal Customers"
1942,72,9,622.17,3,5,5,13,"Loyal Customers"
490,71,6,660.07,3,5,5,13,"Loyal Customers"
925,71,8,537.61,3,5,5,13,"Loyal Customers"
2184,71,8,576.57,3,5,5,13,"Loyal Customers"
1658,71,9,570.93,3,5,5,13,"Loyal Customers"
1189,71,9,600.0,3,5,5,13,"Loyal Customers"
892,70,7,462.21,3,5,5,13,"Loyal Customers"
2085,69,5,354.23,3,5,5,13,"Loyal Customers"
2404,69,6,292.65,3,5,5,13,"Loyal Customers"
341,69,8,483.85,3,5,5,13,"Loyal Customers"
2147,68,5,292.19,3,5,5,13,"Loyal Customers"
491,68,7,365.17,3,5,5,13,"Loyal Customers"
1231,68,7,531.23,3,5,5,13,"Loyal Customers"
1163,68,8,515.47,3,5,5,13,"Loyal Customers"
366,68,9,640.45,3,5,5,13,"Loyal Customers"
1852,67,4,393.81,3,5,5,13,"Loyal Customers"
2730,67,5,354.66,3,5,5,13,"Loyal Customers"
594,66,7,390.08,3,5,5,13,"Loyal Customers"
1377,64,6,375.09,3,5,5,13,"Loyal Customers"
2089,64,7,475.96,3,5,5,13,"Loyal Customers"
524,63,6,658.48,3,5,5,13,"Loyal Customers"
1132,62,5,412.18,3,5,5,13,"Loyal Customers"
2498,62,8,369.18,3,5,5,13,"Loyal Customers"
1444,61,6,450.96,3,5,5,13,"Loyal Customers"
376,61,7,416.21,3,5,5,13,"Loyal Customers"
2954,61,8,411.68,3,5,5,13,"Loyal Customers"
2573,61,9,630.23,3,5,5,13,"Loyal Customers"
2391,60,6,353.91,3,5,5,13,"Loyal Customers"
2524,60,6,378.65,3,5,5,13,"Loyal Customers"
184,60,7,486.42,3,5,5,13,"Loyal Customers"
2593,59,5,435.6,3,5,5,13,"Loyal Customers"
921,59,8,411.83,3,5,5,13,"Loyal Customers"
1499,59,8,567.05,3,5,5,13,"Loyal Customers"
1000,58,7,342.28,3,5,5,13,"Loyal Customers"
716,57,4,452.64,3,5,5,13,"Loyal Customers"
2690,57,6,470.54,3,5,5,13,"Loyal Customers"
2629,56,6,366.32,3,5,5,13,"Loyal Customers"
518,56,7,375.49,3,5,5,13,"Loyal Customers"
116,56,7,387.32,3,5,5,13,"Loyal Customers"
342,55,5,425.96,3,5,5,13,"Loyal Customers"
830,55,6,312.26,3,5,5,13,"Loyal Customers"
1525,55,8,473.64,3,5,5,13,"Loyal Customers"
2086,54,6,476.88,3,5,5,13,"Loyal Customers"
1236,54,8,580.19,3,5,5,13,"Loyal Customers"
2876,53,7,402.63,3,5,5,13,"Loyal Customers"
1027,53,8,500.46,3,5,5,13,"Loyal Customers"
2508,53,8,602.41,3,5,5,13,"Loyal Customers"
1431,53,9,521.23,3,5,5,13,"Loyal Customers"
2140,52,6,455.74,3,5,5,13,"Loyal Customers"
1783,52,7,410.58,3,5,5,13,"Loyal Customers"
1892,52,8,433.78,3,5,5,13,"Loyal Customers"
838,52,10,627.31,3,5,5,13,"Loyal Customers"
2076,51,8,508.43,3,5,5,13,"Loyal Customers"
1964,51,9,559.72,3,5,5,13,"Loyal Customers"
1445,50,8,476.78,3,5,5,13,"Loyal Customers"
1769,49,6,292.29,3,5,5,13,"Loyal Customers"
1373,49,6,375.7,3,5,5,13,"Loyal Customers"
1374,49,8,398.77,3,5,5,13,"Loyal Customers"
1419,49,9,584.69,3,5,5,13,"Loyal Customers"
449,48,8,462.69,3,5,5,13,"Loyal Customers"
1705,47,6,285.15,3,5,5,13,"Loyal Customers"
1358,47,8,443.14,3,5,5,13,"Loyal Customers"
1051,44,5,255.62,4,5,4,13,Champions
1306,43,4,335.55,4,4,5,13,Champions
823,42,5,275.13,4,5,4,13,Champions
2208,42,7,270.83,4,5,4,13,Champions
2382,40,6,207.97,4,5,4,13,Champions
140,39,3,315.59,4,4,5,13,Champions
812,38,3,324.28,4,4,5,13,Champions
2826,37,6,230.43,4,5,4,13,Champions
2249,36,5,236.88,4,5,4,13,Champions
537,36,6,244.21,4,5,4,13,Champions
2924,31,2,295.66,4,4,5,13,Champions
1176,31,2,365.72,4,4,5,13,Champions
2246,31,5,270.94,4,5,4,13,Champions
2267,30,3,301.68,4,4,5,13,Champions
1252,29,5,220.14,4,5,4,13,Champions
725,28,5,223.36,4,5,4,13,Champions
1425,27,4,303.06,4,4,5,13,Champions
637,26,4,348.8,4,4,5,13,Champions
1159,24,5,251.41,4,5,4,13,Champions
2393,23,6,200.34,4,5,4,13,Champions
2364,23,6,221.97,4,5,4,13,Champions
2594,22,4,334.6,4,4,5,13,Champions
1771,19,5,179.79,4,5,4,13,Champions
311,19,6,238.18,4,5,4,13,Champions
981,18,6,203.25,4,5,4,13,Champions
2437,17,5,245.15,4,5,4,13,Champions
2928,15,3,189.71,5,4,4,13,Champions
181,15,3,246.62,5,4,4,13,Champions
1241,15,4,215.46,5,4,4,13,Champions
1025,15,4,252.08,5,4,4,13,Champions
1036,14,2,206.96,5,4,4,13,Champions
55,14,3,163.7,5,4,4,13,Champions
576,14,3,169.82,5,4,4,13,Champions
2237,14,4,243.82,5,4,4,13,Champions
2494,14,4,267.82,5,4,4,13,Champions
582,13,3,175.93,5,4,4,13,Champions
2646,13,3,200.28,5,4,4,13,Champions
1766,13,3,222.47,5,4,4,13,Champions
2623,13,3,230.72,5,4,4,13,Champions
944,13,4,180.95,5,4,4,13,Champions
1139,13,4,242.86,5,4,4,13,Champions
2514,13,4,253.32,5,4,4,13,Champions
1152,12,3,227.42,5,4,4,13,Champions
227,12,3,238.78,5,4,4,13,Champions
468,12,3,248.75,5,4,4,13,Champions
2792,11,3,167.01,5,4,4,13,Champions
2658,11,3,172.19,5,4,4,13,Champions
2737,11,3,207.8,5,4,4,13,Champions
2033,11,3,254.81,5,4,4,13,Champions
793,11,4,193.1,5,4,4,13,Champions
998,10,2,192.75,5,4,4,13,Champions
1038,10,2,272.16,5,4,4,13,Champions
497,10,3,241.76,5,4,4,13,Champions
1302,10,3,262.41,5,4,4,13,Champions
2867,10,4,257.97,5,4,4,13,Champions
1772,9,2,186.33,5,4,4,13,Champions
573,9,2,231.83,5,4,4,13,Champions
679,9,3,209.06,5,4,4,13,Champions
2258,9,4,222.17,5,4,4,13,Champions
1315,9,4,258.31,5,4,4,13,Champions
633,9,5,138.6,5,5,3,13,"Loyal Customers"
1697,8,2,228.1,5,4,4,13,Champions
1855,8,3,171.15,5,4,4,13,Champions
2926,8,3,214.38,5,4,4,13,Champions
173,8,3,218.18,5,4,4,13,Champions
121,8,3,234.76,5,4,4,13,Champions
865,8,4,236.52,5,4,4,13,Champions
327,8,4,239.15,5,4,4,13,Champions
1286,7,4,196.19,5,4,4,13,Champions
1075,7,4,214.9,5,4,4,13,Champions
918,6,3,165.69,5,4,4,13,Champions
496,6,4,265.53,5,4,4,13,Champions
1264,5,2,210.46,5,4,4,13,Champions
1517,5,2,216.03,5,4,4,13,Champions
2345,5,4,166.9,5,4,4,13,Champions
2971,5,4,177.75,5,4,4,13,Champions
2476,5,4,220.52,5,4,4,13,Champions
1451,5,4,222.88,5,4,4,13,Champions
24,5,4,228.06,5,4,4,13,Champions
98,4,3,159.85,5,4,4,13,Champions
1278,4,3,165.57,5,4,4,13,Champions
634,4,3,172.6,5,4,4,13,Champions
242,4,3,236.95,5,4,4,13,Champions
51,4,4,162.04,5,4,4,13,Champions
2109,3,2,241.99,5,4,4,13,Champions
2466,3,2,248.1,5,4,4,13,Champions
2166,3,3,162.21,5,4,4,13,Champions
549,3,3,171.86,5,4,4,13,Champions
2321,3,3,227.64,5,4,4,13,Champions
34,3,4,177.38,5,4,4,13,Champions
797,3,4,233.59,5,4,4,13,Champions
1759,2,2,201.14,5,4,4,13,Champions
2244,2,3,194.59,5,4,4,13,Champions
364,2,3,202.58,5,4,4,13,Champions
1585,2,3,256.21,5,4,4,13,Champions
187,2,5,147.57,5,5,3,13,"Loyal Customers"
888,1,2,184.82,5,4,4,13,Champions
176,1,2,203.65,5,4,4,13,Champions
