cohort_month,months_since_first_order,active_customers,cohort_size,retention_pct
2025-05,4,36,163,22.1
2025-05,5,43,163,26.4
2025-05,6,23,163,14.1
2025-05,7,35,163,21.5
2025-06,0,171,171,100.0
2025-06,1,35,171,20.5
2025-06,2,33,171,19.3
2025-06,3,40,171,23.4
2025-06,4,34,171,19.9
2025-06,5,39,171,22.8
2025-06,6,36,171,21.1
2025-07,0,148,148,100.0
2025-07,1,33,148,22.3
2025-07,2,27,148,18.2
2025-07,3,28,148,18.9
2025-07,4,27,148,18.2
2025-07,5,38,148,25.7
2025-08,0,172,172,100.0
2025-08,1,50,172,29.1
2025-08,2,46,172,26.7
2025-08,3,47,172,27.3
2025-08,4,44,172,25.6
2025-09,0,217,217,100.0
2025-09,1,60,217,27.6
2025-09,2,63,217,29.0
2025-09,3,57,217,26.3
2025-10,0,208,208,100.0
2025-10,1,71,208,34.1
2025-10,2,61,208,29.3
2025-11,0,239,239,100.0
2025-11,1,117,239,49.0
2025-12,0,311,311,100.0
